,album_name,album_uri,artist_name,artist_uri,duration_ms,pid,pos,track_name,track_uri
24,King,spotify:album:2X7s6Gt8Xz2qEwlw4GVcQo,T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT,282413.0,0.0,0.0,Top Back,spotify:track:4LE8fR53Pjd6xmHBUlxArg
25,It's About Us,spotify:album:3Yk19X5zgXDSrG8uqrPnXC,Alex & Sierra,spotify:artist:58MLl9nC29IXbE4nEtuoP2,229640.0,0.0,0.0,I Love You,spotify:track:2ELVVIbpucfOqGFC21Q4yR
26,Bronco,spotify:album:40hl9x5G7YelVvXQGroLa2,Canaan Smith,spotify:artist:0q2lY1ZzFckzciuoMtUvck,203052.0,0.0,0.0,Love You Like That,spotify:track:2QVzUws1l5mzZ4v46tGHrC
27,This Is Acting (Deluxe Version),spotify:album:2eV6DIPDnGl1idcjww6xyX,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,210226.0,0.0,0.0,The Greatest,spotify:track:7xHWNBFm6ObGEQPaUxHuKO
28,Deep South,spotify:album:4VRIpRxvAMvewEHzy2GCtc,Josh Turner,spotify:artist:7vCtweS8UVAXTyau2j0rDT,235800.0,0.0,0.0,Deep South,spotify:track:0MVWxE7RIYMDt8JPC2vLNF
29,That's All,spotify:album:5MsJK0kqiYIJDmd3cjkGMn,Bobby Darin,spotify:artist:0EodhzA6yW1bIdD5B4tcmJ,184333.0,0.0,0.0,Mack The Knife,spotify:track:3E5ndyOfO6vFDEIE42HA8o
30,x,spotify:album:6NoBzYmh5gUusGPCfg0pct,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,237146.0,0.0,0.0,All Of The Stars,spotify:track:3Th56VIq2sEaEmPPETu7p5
31,Blurryface,spotify:album:3cQO7jp5S9qLBoIVtbkSM1,Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,202333.0,0.0,0.0,Stressed Out,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
32,TrapXficante,spotify:album:0v94MG5nbp4w6xdeFkfQrA,Farruko,spotify:artist:329e4yvIujISKGKz1BZZbO,230520.0,0.0,0.0,Krippy Kush,spotify:track:7FfpP3YZ6fOWMdxkIAtud9
33,The First Time,spotify:album:2H6xesu7JV1YEO1FvwxKZG,Kelsea Ballerini,spotify:artist:3RqBeV12Tt7A8xH3zBDDUF,194426.0,0.0,0.0,Yeah Boy,spotify:track:6fndSocvpEUYd5OFDGNYzj
34,Nailbiter,spotify:album:2i6VxpijpEQuZwNNuH9enz,Looming,spotify:artist:6k5ce5QSZYc12PC2UnN8Wc,182762.0,0.0,0.0,Cotton Tongue,spotify:track:1QjGIUwIGs3H403qWu7kLQ
35,Sway,spotify:album:4GgwHp794AzZkv2hh8geZu,Marian Hill,spotify:artist:1xHQO9GJIW9OXHxGBISYc5,173013.0,0.0,0.0,Lovit,spotify:track:2Ag3LUfgpN6ymEMwDOqKdg
36,Lockjaw,spotify:album:7sSW3tQBtQrO7f6uO4Bcxq,French Montana,spotify:artist:6vXTefBL93Dj5IqAWq6OTv,223146.0,0.0,0.0,Lockjaw,spotify:track:7iaw359G2XT14uTfV9feip
37,Somewhere in Neverland (Live),spotify:album:1OUeVQvncD3v0JplCt4Yz0,King the Kid,spotify:artist:20INnPmP1pMkq6RptiIUBx,315000.0,0.0,0.0,Somewhere in Neverland (Live),spotify:track:0i2t2LkgVul08dHjY7xtea
38,Born To Rage,spotify:album:2urPHudOVrxkdOrQXLlQjV,Dada Life,spotify:artist:00sAT5YX8W3xNd1EuqyHw9,209883.0,0.0,0.0,Born To Rage - USA Version,spotify:track:1oEgqFagcGV8LiIkA69FzD
39,Golden Hits,spotify:album:14WkMtuCZjgMqi4QQPRtpy,Patti Page,spotify:artist:4nZN9kln8toEzOifhWG2uF,185000.0,0.0,0.0,Tennessee Waltz,spotify:track:0788TdvEjGtjFVb6CTFdJH
40,÷,spotify:album:3T4tUhGYeRNVUGevb0wThu,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,263400.0,0.0,0.0,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v
41,It Goes Like This,spotify:album:2ZHYOFW5giX6a4n5eqTnUB,Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8,187400.0,0.0,0.0,Get Me Some Of That,spotify:track:4O1CExxinEpKZi3861NlTK
42,Madman Across The Water,spotify:album:6eXE4xeu9GHSa8zTEVtFep,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,377093.0,0.0,0.0,Tiny Dancer,spotify:track:4BGJSbB5rAcg4pNzD4gfxU
43,Zion,spotify:album:3A24aBx6jZCAgovIbZUubC,Hillsong United,spotify:artist:74cb3MG0x0BOnYNW1uXYnM,309173.0,0.0,0.0,Relentless,spotify:track:1oa8QzSaWAQ8zhFbeyqJlH
44,Say My Name Remixes,spotify:album:7Eg6srmG6BVIEiUmiRjzI4,ODESZA,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,268475.0,0.0,0.0,Say My Name (feat. Zyra) - Hayden James Remix,spotify:track:3r9lxV4oe3XW9p5eO60VQy
45,BEYONCÉ [Platinum Edition],spotify:album:2UJwKSBUz6rtW4QLK74kQu,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,250960.0,0.0,0.0,***Flawless,spotify:track:7tefUew2RUuSAqHyegMoY1
46,Straight Shooter,spotify:album:1LgPUiosPMevbB4NHxcNiO,Bad Company,spotify:artist:5AEG63ajney2BoDXi0Vb84,313840.0,0.0,0.0,Feel Like Makin' Love - 2015 Remastered Version,spotify:track:3KPwt1LBpt1jVSHz8GXERo
47,Leave A Whisper,spotify:album:0gLVNSNAW4ghjFqHMDFA3l,Shinedown,spotify:artist:70BYFdaZbEKbeauJ670ysI,250093.0,0.0,0.0,45,spotify:track:420JGkyLfLUZcgBHKiIK9v
48,Black Bear,spotify:album:2Objy4bpKyIT4JsUsBr8ka,Andrew Belle,spotify:artist:3UAk61T8PItbpgEi9u7ofY,241119.0,0.0,0.0,Pieces,spotify:track:2DHDuADAHoUW6n0z80RLQF
49,Ready To Die The Remaster,spotify:album:2HTbQ0RHwukKVXAlTmCZP2,The Notorious B.I.G.,spotify:artist:5me0Irg2ANcsgc93uaYrpb,252746.0,0.0,0.0,Big Poppa,spotify:track:2g8HN35AnVGIk7B8yMucww
50,Fuse,spotify:album:6LJH0InZpmgymwZ3hpsUYD,Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf,191746.0,0.0,0.0,We Were Us,spotify:track:5Net7uzpcqkJtOwR22onye
51,Bangerz (Deluxe Version),spotify:album:3RDqXDc1bAETps54MSSOW0,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,225493.0,0.0,0.0,Do My Thang,spotify:track:6n2GPvMJtFZ4ckoc9EWHMx
52,Uber Everywhere,spotify:album:7asvyIMzbsyAJpbC47wjBV,MadeinTYO,spotify:artist:5SyGEPymt1G2uto47tVWvZ,153428.0,0.0,0.0,Uber Everywhere,spotify:track:7zBPzAjKAqQpcv8F8GCq5s
53,OG Maco EP,spotify:album:64PPnBAtsVz5WcIX8rjFKC,OG Maco,spotify:artist:0nvvVQhPQGkYTJlThLbJeu,210128.0,0.0,0.0,U Guessed It (Remix),spotify:track:33OG3eJX77UAcaTzQa0xIu
54,Best Friend,spotify:album:4YqXHbPtEXINS3CBtKfCyO,Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn,213000.0,0.0,0.0,Best Friend,spotify:track:33JcUj9qQDayKswunZP9ar
55,Me 4 U,spotify:album:7cVXH4slEYzGjDh498OFyL,OMI,spotify:artist:5MouCg6ta7zAxsfMEbc1uh,180565.0,0.0,0.0,Cheerleader - Felix Jaehn Remix Radio Edit,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy
56,Starboy,spotify:album:09fggMHib4YkOtwQNXEBII,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,230453.0,0.0,0.0,Starboy,spotify:track:5aAx2yezTd8zXrkmtKl66Z
57,Matando La Liga,spotify:album:7t0xmM6qXU2p4cxeITtHRA,Jory Boy,spotify:artist:5lFhCi03HDneWzvCxGctrT,209866.0,0.0,0.0,Noche De San Juan,spotify:track:4r8VdVex9Y1zX5QWYiEuL5
58,Extraordinary Machine,spotify:album:1z0O8lKuQRs974S8wcRiAs,Fiona Apple,spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL,223329.0,0.0,0.0,Extraordinary Machine,spotify:track:5h9Iek7Hp9wayRt7fBp7Ab
59,XOXO,spotify:album:1SX20zgyjlyqjHSzOTmqxf,Family and Friends,spotify:artist:2AmW5LU0vqfHoN2qvghRFe,260974.0,0.0,0.0,Vestiges,spotify:track:5BXBeOf69MD0yhh2fPLFuA
60,R&G (Rhythm & Gangsta): The Masterpiece,spotify:album:797fkvAtk0iZvP1HHPCWbp,Snoop Dogg,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,266066.0,0.0,0.0,Drop It Like It's Hot,spotify:track:2NBQmPrOEEjA8VbeWOQGxO
61,Lil Uzi Vert Vs. The World,spotify:album:7mgdTKTCdfnLoa1HXHvLYM,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,198944.0,0.0,0.0,Money Longer,spotify:track:0B8QzDH7YWih85V5SEMnyJ
62,Insomniatic,spotify:album:4TOOGDpJ9KQ8EM84TC4qj6,Aly & AJ,spotify:artist:5wugb0kaq0J6nyQ5Xgd17i,219773.0,0.0,0.0,Potential Breakup Song,spotify:track:11dxtPJKR4E0wlSr0A0t47
63,Aquarius,spotify:album:0GET5PKimoSUAHMeCebJx7,Tinashe,spotify:artist:0NIIxcxNHmOoyBx03SfTCD,217040.0,0.0,0.0,Wildfire,spotify:track:3qbSihaj2TQoO46qgMPn2l
64,We Built This City,spotify:album:76Xeg41I9wax63b8UteM4T,Aron Wright,spotify:artist:4MKVLp1MAwYFqaXhe1g8dA,181565.0,0.0,0.0,We Built This City,spotify:track:0TN5VuFB1FqP4359BkL7bA
65,Asaph's Arrows,spotify:album:0Pys5OxfX2iOtIUiFoDDMh,Kings Kaleidoscope,spotify:artist:6P9fFbQ875B2bnmdiYwN9A,296800.0,0.0,0.0,Come Thou Fount,spotify:track:3TjbpRjtWYHFwigdLMr8Zl
66,Grasiah,spotify:album:4TGgURD948AziGaxFK9Iw5,Mow,spotify:artist:7uOTD3UUOexlzc3D5xItq6,187780.0,0.0,0.0,Grasiah,spotify:track:44LxDigvZvvXqPy5nLkJ8g
67,Family Tradition,spotify:album:3nJf4jGn7mru28s5ZUVIx4,"Hank Williams, Jr.",spotify:artist:2dyeCWctcFRt3Pha76ONgb,242960.0,0.0,0.0,Family Tradition,spotify:track:73ZTWCuwudUVvvWipRnQnQ
68,4 Your Eyez Only,spotify:album:3CCnGldVQ90c26aFATC1PW,J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,216520.0,0.0,0.0,Neighbors,spotify:track:0utlOiJy2weVl9WTkcEWHy
69,"Punk Goes Pop, Vol. 03",spotify:album:7n1xZCMhhkwA6A5QKEGm8i,The Ready Set,spotify:artist:2eRJjYEaWyGZbOBGYFLBoC,157813.0,0.0,0.0,Airplanes,spotify:track:0zAKeolWqSoz97KN2HMe0k
70,So Good,spotify:album:5YLRVHDVRw3QqWbeTGpC5B,Zara Larsson,spotify:artist:1Xylc3o4UrD53lo9CvFvVg,226720.0,0.0,0.0,I Would Like,spotify:track:4Q4jmPHwu0wrJvqrld0FQ6
71,dont smile at me,spotify:album:07WV4Vf6503k6K1yGNWG8X,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,200379.0,0.0,0.0,ocean eyes,spotify:track:3OMh7VdOoWgtKhJimQQywz
72,What A Time To Be Alive,spotify:album:1ozpmkWcCHwsQ4QTnxOOdT,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,205879.0,0.0,0.0,Jumpman,spotify:track:27GmP9AWRs744SzKcpJsTZ
73,Rock N Roll Jesus,spotify:album:2xChdOg0PvxzHzE1BooUpI,Kid Rock,spotify:artist:7dOBabd5O4CvKrg4iriHTM,297586.0,0.0,0.0,All Summer Long,spotify:track:5rX6C5QVvvZB7XckETNych
74,50 Blessed Years,spotify:album:2kdsLYiWfnaRtTOVABkzQ2,Rev. Milton Brunson's Thompson Community Singers,spotify:artist:3lFX1qTdLZpGmYm9ASlrim,304600.0,0.0,0.0,Save In His Arms,spotify:track:1sRbCWHEIugvcATZio2DDk
75,Onka's Big Moka,spotify:album:2ww2PXKiHk7rNv26rjVJ5z,Toploader,spotify:artist:6xeFne1rkxMhKSW3ipvkdV,232693.0,0.0,0.0,Dancing in the Moonlight,spotify:track:3Fzlg5r1IjhLk2qRw667od
76,Superfly: Deluxe 25th Anniversary Edition,spotify:album:5QuvlU7nCUZZJauMvhlWR4,Curtis Mayfield,spotify:artist:2AV6XDIs32ofIJhkkDevjm,300693.0,0.0,0.0,Pusherman,spotify:track:7zrPswSV1yxrill5OyCuaU
77,Funkify Your Life: The Meters Anthology,spotify:album:40VWlphQtyDSj3ldPNhDvz,The Meters,spotify:artist:2JRvXPGWiINrnJljNJhG5s,193466.0,0.0,0.0,Ease Back,spotify:track:58f6PxrFxQ8jEWoDoDVZ9C
78,Big Baby DRAM,spotify:album:0NrZHZ0y5kTO8EHliuUUca,DRAM,spotify:artist:5M0lbkGluOPXLeFjApw8r8,225205.0,0.0,0.0,Broccoli (feat. Lil Yachty),spotify:track:7yyRTcZmCiyzzJlNzGC9Ol
79,Say I Am You,spotify:album:0ZF4upbGbPnqw6JApHiHQ1,The Weepies,spotify:artist:6pwHWKweuoCyx3OoFaD0Q5,120720.0,0.0,0.0,Nobody Knows Me At All,spotify:track:2OkQOKDrx75EWskLvub0fa
80,Me. I Am Mariah…The Elusive Chanteuse,spotify:album:6hGRm1piHNE0Xp7I5Guesy,Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,199946.0,0.0,0.0,#Beautiful,spotify:track:1ahAuX3F6tDdNRfMdiLsv6
81,Butterfly Effect,spotify:album:4fOw7xSDwqb58Z2Qia5j81,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,190677.0,0.0,0.0,Butterfly Effect,spotify:track:1yxgsra98r3qAtxqiGZPiX
82,Beauty Behind The Madness,spotify:album:28ZKQMoNBB0etKXZ97G2SN,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,242253.0,0.0,0.0,The Hills,spotify:track:25khomWgBVamSdKw7hzm3l
83,Cry Baby,spotify:album:5JpH5T1sCYnUyZD6TM0QaY,Melanie Martinez,spotify:artist:63yrD80RY3RNEM2YDpUpO8,204085.0,0.0,0.0,Pity Party,spotify:track:3fo6DYGktjENCiagUeU9yH
84,Silent Treatment,spotify:album:26rRDiLvW1LKzHdq3mZC5n,Highasakite,spotify:artist:5awQWdBpLqN2KFVRN8w56T,236879.0,0.0,0.0,Since Last Wednesday,spotify:track:7Miom5GZWwDFjv4CwrrAVF
85,Open Your Eyes,spotify:album:6O85lOBu1oF24kkz8XBlCl,Goldfinger,spotify:artist:7sVQKNtdP2NylxMgbNOJMM,166960.0,0.0,0.0,Open Your Eyes,spotify:track:4O4byVb6Kew2lHoRVj3Tv3
86,2CELLOS,spotify:album:6Tfa58cXgknGKAfHlshaiZ,2Cellos,spotify:artist:6Fi8CHfO8WGtu3yO8c2Mc4,242133.0,0.0,0.0,Where The Streets Have No Name,spotify:track:1qlYBDwPvgKOtnMjCCDrvs
87,Leave Me Alone,spotify:album:2ILzlgDg3yqPT1xxf1f52I,Hinds,spotify:artist:4piFCokRN13muTud5Y2lhz,226626.0,0.0,0.0,Castigadas En El Granero,spotify:track:2CRHeCl1F4UZAOw73QM1so
88,Fancy,spotify:album:5m2DCr1ME7vsqsmSU4t2Ml,Iggy Azalea,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,219789.0,0.0,0.0,Fancy,spotify:track:3sP10QGbhzgW966egoIjcA
89,The Nightmare Before Christmas,spotify:album:4YF2FhoRfaTLv2sMVLUrJm,Danny Elfman,spotify:artist:5qBZETtyzfYnXOobDXbmcD,185440.0,0.0,0.0,What's This?,spotify:track:2Rddbad3XaTds95LY8iidH
90,Stoney,spotify:album:5s0rmjP8XOPhP6HhqOhuyC,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,224960.0,0.0,0.0,Money Made Me Do It,spotify:track:1ysAvOdJgUjc6CqOQxepaz
91,Revelation,spotify:album:2FaftX7nenyiYsEIrpzPJN,Third Day,spotify:artist:7uWXomGkKtIq9B4XgA3gch,213440.0,0.0,0.0,Revelation,spotify:track:03v6RgqWOMWFaaW83ep2hF
92,Encore,spotify:album:55bbXORm6ZrVq52zfZnxBf,DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4,220573.0,0.0,0.0,Middle,spotify:track:4OZEu0Vwq0RB2LAq14v99n
93,Greatest Hits - Volume 2,spotify:album:4b5VS7H0TqAEOrRF3Ax8s9,Lee Greenwood,spotify:artist:3g229vTyhsdwm9SO2p1FPL,190240.0,0.0,0.0,God Bless The U.S.A.,spotify:track:1xcDKZqyEg1dIgsidluiFP
94,Otherside,spotify:album:1ABFLeglgqiogDPTy4AdAd,Tom Swoon,spotify:artist:2OFEXARoSZyZLR6S0oV2R7,207202.0,0.0,0.0,Otherside - Radio Edit,spotify:track:4i7nIQd5nZeKyIHQI0idWy
95,Codes and Keys,spotify:album:26HVbJdxW1zC799gz8yzUr,Death Cab for Cutie,spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,244346.0,0.0,0.0,Home Is A Fire,spotify:track:2tsKfVNqn4vviL0uYTPxXf
96,The Preview,spotify:album:5OjzRDl141Fndlh0ex0Bv8,Chiddy Bang,spotify:artist:40giwFcTQtv9ezxW8yqxJU,193706.0,0.0,0.0,Opposite Of Adults,spotify:track:22wKQbMH8n7wZfso2VcLJL
97,Addicted To My Ex,spotify:album:5h9SDZSCoJh5bVFcqua9cz,M City JR,spotify:artist:0wSIyRIXxXiOBCIV0TyXZH,223074.0,0.0,0.0,Addicted To My Ex,spotify:track:5NuhZIx47GxB5DAXg8jWHN
98,It's On Again,spotify:album:4zlMEyTcl2vRniVBG1LA6T,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,230080.0,0.0,0.0,It's On Again - Main Soundtrack,spotify:track:4WLMaOOMrKXQMd2NjPlC1v
99,Infinity On High,spotify:album:03Og8YvbFYbe3hmr9MfZHT,Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,203506.0,0.0,0.0,Thnks fr th Mmrs,spotify:track:18GC3F8YPGB8CePXcTUizQ
100,I Don’t Wanna Live Forever (Fifty Shades Darker),spotify:album:5MxXY7DbFMUiHFTPUabgJJ,ZAYN,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,245200.0,0.0,0.0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",spotify:track:3NdDpSvN911VPGivFlV5d0
101,Everything In Transit,spotify:album:7gfFEfHxjkmy6sP1fhLaJM,Jack's Mannequin,spotify:artist:42aeGx2I3uXINpGqC8L0LD,194440.0,0.0,0.0,The Mixed Tape - 2015 Remastered,spotify:track:4NaPX1b3NsQqJrrAwkkvVc
102,The Chainsmokers- Japan Special Edition,spotify:album:3ShQFl9FladFKlonwPGZFc,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,225800.0,0.0,0.0,Roses,spotify:track:6O6M7pJLABmfBRoGZMu76Y
103,Reflection,spotify:album:6IBUil5AQA6wPLCzpYrlMI,Fifth Harmony,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,272160.0,0.0,0.0,This is How We Roll,spotify:track:4n61GqkEhOHlU1vOfIMxLT
104,The Carpenter,spotify:album:4RclFqtNPoThUz7327xFbD,The Avett Brothers,spotify:artist:196lKsA13K3keVXMDFK66q,271186.0,0.0,0.0,Live And Die,spotify:track:19n9s9SfnLtwPEODqk8KCT
105,Sleepwalking in the Rift (Original Motion Picture Soundtrack),spotify:album:1XE4rhxnxAxNhTuNOHfwgw,Dan Romer,spotify:artist:5ppJZFMF0gAfrHfZTGuHe4,114320.0,0.0,0.0,The Garden,spotify:track:3uOwYgEy8JnHJmFq2fImUc
106,Yeezus,spotify:album:7D2NdGvBHIavgLhmcwhluK,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,256093.0,0.0,0.0,New Slaves,spotify:track:4cAgkb0ifwn0FSHGXnr4F6
107,Based On A T.R.U. Story,spotify:album:1wBFRaacNYmqfkidUZ0NtM,2 Chainz,spotify:artist:17lzZA2AlOHwCwFALHttmp,207040.0,0.0,0.0,I'm Different,spotify:track:6J5sxraPPZ4b0CVOGAgpXj
108,Nervous System,spotify:album:22aqlgX39cWQMWazg9qwuv,Julia Michaels,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,178973.0,0.0,0.0,Uh Huh,spotify:track:7hCcLbNDCVPNqAwuoutJ31
109,PCD,spotify:album:5x8e8UcCeOgrOzSnDGuPye,The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,225560.0,0.0,0.0,Buttons,spotify:track:3BxWKCI06eQ5Od8TY2JBeA
