Title,Artist,Lyrics
7,Catfish and the Bottlemen,"

[Verse 1]
Larry, call a load of smoke in, I wanna lose a couple days
We've probably never struggled coping but I never want to
Promise again that I would call her
Forget the time 'cause I'm seven hours behind
It's probably good I didn't call though but I always want to

[Pre-Chorus 1]
I'd beg you, but you know I'm never home
I'd love you, but I need another year alone
I've tried to ignore it every time you phone
But I never come close

[Chorus 1]
And I don't think through things, I never get time
'Cause I don't think things through

[Verse 2]
Larry, call a load of smoke in, I wanna disappear for days
We've probably never struggled sleeping, but I never want to
Promise again that I would call her
Forget the time 'cause I'm seven hours behind
It's probably good I didn't call though but I always want to

[Pre-Chorus 2]
And I'd beg you, but you know I'm never home
And I'd love you, but I need another year alone
I've tried to ignore it every time you phone
But I never come close

[Chorus 2]
I don't think through things, I never get time
'Cause I don't think things through
I don't think through things, I never get time
'Cause I don't think things through

[Pre-Chorus 3]
And I'd beg you, but you know I'm never home
And I'd love you, but I need another second to myself
And I've tried to ignore it every time you phone
But I never come close

[Chorus 3]
(I don't think through things, I never get time)
I'd beg you, but you know I'm never home
('Cause I don't think things through)
And I'd love you, but I need another year alone
(I don't think through things, I never get time)
And I've tried to ignore it every time you phone
('Cause I don't think things through)
But I never come close

"
Love Is Mystical,Cold War Kids,"

[Verse 1]
And when my heart won't break
An empty space between my lungs
And when my knees won't shake
I'll drink to find inspiration
'Cause I'm a red blooded man
When I can't see behind the sun (I can't see behind the sun)
A supernatural plan
Is coming to meet me now

[Pre-Chorus 1]
Living life with no need for the brakes
Something happens when I lean on my mistakes

[Chorus 1]
Love is mystical
Love will break the chains
You might feel invincible
And you might be afraid
Light in darkness will show you the way
Give you the power to believe again

[Verse 2]
'Cause I'm a rational man
And I can see how far I've come (I can see how far I've come)
But I don't know where to stand
Or who's coming to meet me now

[Pre-Chorus 2]
Living life with no need for the brakes
Something happens when I lean on my mistakes
If the words are true
And the words reveal the same
I come alive when I don't even think

[Chorus 1]
Love is mystical
Love will break the chains
You might feel invincible
And you might be afraid
Light in darkness will show you the way
Give you the power to believe again

[Bridge]
Oh, can't you hear the future is calling
For heaven's sake
It's either hell or high water
Let's get outta this place
I feel your skeptical eyes
On my mental state
I lift my hands to the sky
And I lower the stakes, oh yeah
And I lower the stakes, oh yeah
And I lower the stakes

[Chorus 2]
Love is mystical
Do you feel the same?
Love is irresistible
It's calling out your name
Light in darkness will show you the way
Give you the power to believe again
Give you the power to believe again
Give you the power to believe again
Give you the power to believe again
Give you the power to believe again

[Outro]
To believe again
To believe again

"
Kathleen,Catfish and the Bottlemen,"

[Verse 1]
You're simpatico
And of all the lift-homes and all the mixed feelings
You're cuts above
And you don't own worries or a chest full of heartache
Yes I know
That I'll never work out exactly how you­'re thinking
But, let me know when I'm needed home

[Pre-Chorus]
And I'd come
You can leather me with your lips

[Chorus]
I've gotta give it to you
You give me problems
When you are not in the mood
I've gotta give it to you
You give me problems
And made me give in to you
Our dealer hates me you know
He used to see her but she sold
Him off on down the river

[Verse 2]
It's impractical
To go out and catch a death with a dress­ fit for the summer
So you don't
Instead you call me up with a head full­ of filth
Yes I know
That I'll never acquiesce anything you're thinking
But let me know when I'm needed home

[Pre-Chorus]
And I'd come
You can leather me with your lips

[Chorus]
I've gotta give it to you
You give me problems
When you are not in the mood
I've gotta give it to you
You give me problems
And made me give in to you
Our dealer hates me you know
He used to see her but she sold
Him off on down the river

"
Soundcheck,Catfish and the Bottlemen,"

[Verse 1]
Maybe I don't act the way I used to
Because I don't feel the same about you
In fact, that's a lie, I want you

[Interlude]
I raced through soundcheck
Just to meet you on your fag break and you convince me
To put life aside and want you

[Pre-Chorus]
If only for the sake of it I could chill you out
And drive us through the night to your sister's
You could fall asleep with my jacket as a cover
And wake up just to join me to smoke

[Chorus]
I wanted everything at once
'Til you blew me out my mind
Now I don't need nothing

[Verse 2]
Maybe I don't act the way I used to
Because I don't feel the same that I did
The fact that I lie is 'cause I want you

[Pre-Chorus]
And if only for the sake of it I could chill you out
And drive us through the night to your sister's
You could fall asleep with my jacket as a cover
And wake up just to join me to smoke

[Chorus]
I wanted everything at once
'Til you blew me out my mind
Now I don't need nothing

[Chorus]
I wanted everything at once
'Til you blew me out my mind
Now I don't need nothing

[Bridge]
We'll be talking 'bout your background
How it never left you much
And 'cause you grew up in a small town
You'll appreciate it more
When you're done figuring your life out
And everything's fine

[Bridge]
We'll be talking about your background
How it never left you much
And 'cause you grew up in a small town
You'll appreciate it more
When you're done figuring your life out
And everything's fine

[Interlude]
I raced through soundcheck
Just to meet you on your fag break and you convince me
To put life aside and want you

[Chorus]
I wanted everything at once
'Til you blew me out my mind
And now I don't need nothing

[Chorus]
I wanted everything at once
'Til you blew me out my mind
And now I don't need nothing

"
Young Blood,Noah Kahan,"

[Verse 1]
Oh dear, oh dear, I’m sorry
That you grew up so soon
A cold year and no high school parties
I’ve been drinking alone
Oh, I’ve been drinking alone
So, don't fear, don’t fear their warnings
They’re bitterer than most
4 years of driving across the country
For empty seats at their shows
And they’ve been drinking alone

[Chorus]
So, keep your time, keep your mind, keep humble
Start your life in the middle of the jungle
You young, young blood
Rub your eyes, be surprised, keep hungry
Stay alive, try to lose all of your money
You young, young blood
You young, young blood
Young blood

[Verse 2]
So when you’re mad for no reason
At everything at once
And when you start overthinking
I’ll be drinking at home
Oh, I’ll be drinking at home

[Chorus]
So, keep your time, keep your mind, keep it humble
Start your life in the middle of the jungle
You young, young blood
Rub your eyes, be surprised, keep hungry
Stay alive, try to lose all of your money
You young, young blood
You young, young blood
Young blood

[Bridge]
And if you want, I could tell the truth
That this life takes a toll on you
I spend nights stitching up the loose threads in my soul
In the morning, I’m bullet proof
And if you want, I could tell the truth
That this life takes a toll on you
I spend nights stitching up the loose threads in my soul
In the morning, I’m bullet proof
In the morning, I’m bullet proof

[Chorus]
So, keep your time, keep your mind, keep it humble
Start your life in the middle of the jungle
You young, young blood
Rub your eyes, be surprised, keep hungry
Stay alive, try to lose all of your money
You young, young blood
You young, young blood
You young, young blood
Young blood

"
Fix,Chris Lane,"

[Verse 1]
Hey girl, you know what you been missing?
Me, me, yeah
Hey girl, whoever you been kissing
It ain't me, me
I got that love medicinal
I'll make you feel invincible
I'm more than recreational
I'm what you need

[Chorus]
I'll be your smooth ride, that late night, your Walter White high
I'll be your first time, that so right
Get you falling in love at the end of the night
With that good ish, that long trip, that sugar on your lips
That favorite habit, gotta have it, you can't quit
I got your fix

[Post-Chorus]
I'll be the high that never lets you down (I got your fix)
The one you crave when no one is around (I got your fix)
I'll pick you up and never let you go (I got your fix)
Never let you go, hey hey

[Verse 2]
Hey hey
Hey girl, he don't get you there never
So leave, oh just leave
Listen, baby baby baby baby girl
Let me make it feel better
Please, please, please, please
I'm what you need

[Chorus]
I'll be your smooth ride, that late night, your Walter White high
I'll be your first time, that so right
Get you falling in love at the end of the night
With that good ish, that long trip, that sugar on your lips
That favorite habit, gotta have it, you can't quit
I got your fix

[Post-Chorus]
I'll be the high that never lets you down (That never lets you down)
The one you crave when no one is around (When no one is around)
I'll pick you up and never let you go (I got your fix)
Never let you go

[Bridge]
Yeah, come on baby, yeah, mmm mmm mmm
I'll be the high that never lets you down
The one you crave when no one is around

[Chorus]
I'll be your smooth ride, that late night, your Walter White high
I'll be your first time, that  so right
Get you falling in love at the end of the night
With that good ish, that long trip, that sugar on your lips
That favorite habit, gotta have it, you can't quit
I got your fix

[Post-Chorus]
I'll be the high that never lets you down (That never lets you down)
The one you crave when no one is around (When no one is around)
I'll pick you up and never let you go (I got your fix)
Never let you go

"
I'm Bringin' Home Good News,Merle Haggard,"

[Verse 1]
Yeah, I'm bringing home some good news
Got some things you'll be glad to hear
Like I'm leaving town and won't be back around
Just long enough to get my gear

[Chorus]
There won't be any goodbye kisses
Well, I'm putting on my leaving shoes
This is the end we're through it's over
Yeah, I'm bringing home some good news

[Verse 2]
Well, I was sitting downtown in a tavern
And I made up my mind to go
And I knew you would be so glad to be free
I just thought to call you to let you know

[Chorus]
Oh, you can tell all your backdoor daddies
That your big daddy's done blew a fuse
This is the end, we're through, it's over
Yeah, I'm bringing home some good news

[Verse 3]
To you I been known as bad news
Well, I'm changing my first name
And I'm giving you your freedom baby
That old race won't kind of change

[Chorus]
Yeah, go to hide your lookman slippers
I won't be looking around for blues
This is the end, we're through, it's over
Yeah I'm bringing home some good news

[Outro]
Good news, there's some good news for you honey
I'm bringing home some good news [x2]
Honey

"
Jack Daniel's,David Allan Coe,"

Jack Daniel's, if you please
Knock me to my knees
You're the only friend there has ever been
That didn't do me wrong

Jack Daniel's, if you please
Knock me to my knees
You can kill this pain that's driving me insane
Since my baby's gone

Cigarettes and whiskey
Calm my shaking hands
I just lost a lover
To a one night stand

Something temporary
To late I had to learn
Someone from her past, sure it couldn't last
A bridge she couldn't burn

Jack Daniel's, if you please
Knock me to my knees
You're the only friend there has ever been
That didn't do me wrong

Jack Daniel's, if you please
Knock me to my knees
You can kill this pain that's driving me insane
Since my baby's gone

Promises were broken
Dreams were left to die
Empty words were spoken
Tears were in our eyes

Something temporary
Those tears will fade away
Do the best you can, to help me understand
These games that people play

Jack Daniel's, if you please
Knock me to my knees
You're the only friend there has ever been
That didn't do me wrong

Jack Daniel's, if you please
Knock me to my knees
You can kill this pain that's driving me insane
Since my baby's gone

"
Chillin,Wale,"

[Chorus 1: Lady Gaga & Wale]
Look at, lookin' at, lookin' at me
Look at that, look how they lookin' at me
Eyes all stickin' Like honey on bees
Look At that, Look how they lookin' at me
Yeah, DC chillin', PG chillin'
My name Wale and I came to get it
Came to get it, came to get It
My name Wale

[Verse 1: Wale]
Shiiit, This how you start off '09
Kickin' in the door, and I'm everybody problem
Stuntin' in some other Jordan Nines
I got Phil Knight talkin' about ""How you got them?""
Let's talk about the cars y'all got
You say you got a lotta whips, well I got a lot
I got the right to be cocky
Get so much cut disc jockeys jock me
You niggas mad cause you not me
I remain a giant while you're Jeremy Shockey
And if you ain't heard me properly
If you speak garbage, then we no capiche
DC chillin', PG chillin', floor To the ceilin'
Stuntin' in my Billionaire gear on my
Millionaire frames, that's money on my mind, Wale

[Chorus 2: Lady Gaga]
Get 'em all, get 'em all, pick it all up
Stack up your funds like a million bucks
Across the pond, they all know us
International, whoaaaa!
Driving my car to a foreign place
Lookin' at me, now they know my face
We want it all now, we got it all, yesss
Look at that, look how they lookin' at usss

[Verse 2: Wale]
They keep sayin' whale, but my name Wale
Hoes call me ""Mr. Never-Wear-The Same-Thing""
You redundant, You never ever change
And I'm the same way, M.I.A
And me, Cool & Dre gettin' high like planes
Your man Wale in his own damn lane
Can't control the box, you are no Mills Lane
Ain't heard DC since Sardines came
Ha! And I made y'all love it
We don't cop pleas, but y'all don't cop nothin'
Police come around don't nobody say nothin'
And you be with the cops, you niggas is McLovin
Dark liquor 'til we busted
'Til I got a buzz like that nigga Chris Mullin
District of Columbia
You Bernie Mac funny, we ain't scared of none of ya

[Chorus 2: Lady Gaga & Wale]
Get 'em all, get 'em all, pick it all up
Stack up your funds like a million bucks
Across the pond, they all know us
International, whoaaaa!
Driving my car to a foreign place
Lookin' at me, now they know my face
We want it all now, we got it all, yesss
Lookin' at, lookin' at,  lookin' at usss
Yeah, DC chillin', PG chillin'
My name Wale and I came to get it
Came to get it, came to get It
My name Wale

[Verse 3: Wale]
Dre, pickin' my, pick'em
I'll shut them all down
Haters in the crowd, if you see 'em, point them out
Stacks in my jeans, broads on the scene
Folarin be ballin' for all y'all to see
Ain't I something? The way I'm stuntin'
My material girls give 'em A-Rod Moneyyy!
LV on my luggage
Them Bammas goin' hate, and I love it

[Chorus 1: Lady Gaga & Wale]
Look at, lookin' at, lookin' at me
Look at that, look how they lookin' at me
Eyes all stickin' Like honey on bees
Look At that, Look how they lookin' at me
Yeah, DC chillin', PG chillin'
My name Wale and I came to get it
Came to get it, came to get It
My name Wale

"
Say Something (Featuring Drake),Timbaland,"

[Chorus: Drake]
This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa

[Verse 1: Timbaland]
It really sucks, but ever since I’ve been long gone
I traded in my señorita for a microphone
I hate the way you fell apart, girl, it's sad to see
Your life is good, but me and you it’s catastrophe
If I was unsuccessful, would you be satisfied?
I need a paramedic girl, I’m feeling paralyzed
If I could choose, you will always be a friend to me
The more money I made you acting like my enemy – it's crazy
I can’t help it if you feel ashamed
Thought the pressure would turn you into my diamond babe
How can something so familiar be so strange
Closest friends get estranged when the status change, ah
Is it my mistake, thinking that where I am and where you at?
And my homeboy Larry Live is the only one that had my back
You were the perfect pair and now it seems that we don’t match
Is it the money, want me to give it back?

[Chorus: Drake]
This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa

[Verse 2: Drake]
I am the topic of conversation, this is celebration
Let's toast to the fact that I've moved out my mama's basement
To a condo downtown, 'cause it's all about location
I sit and drink wine and watch Californication, to life
You shoulda been here to kick it with me
We could have split this whole thing up 50/50
But now I'm at the 40/40 getting bitches tipsy
Killing shit, the ever-so talented Mr. Ripley
How I go from being the man that you argue with
To me and Dwayne Carter putting out the hardest shit
I should wanna go back to the one I started with
But I'm addicted to this life, it's gon' be hard to quit
Yeah, just ask me how things are coming along
You could tell me that you've never heard none of my songs
Long as you end up saying one day you plan to listen
'Cause what's a star when it's most important fan is missing?

[Chorus: Drake]
This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa

"
I Don't Fuck With You,Big Sean,"

[Produced By DJ Mustard, Kanye West & DJ Dahi]

[Pre-Chorus: Big Sean]
Uh, fuck, I don't fuck with you
You lil' stupid ass bitch, I ain't fuckin' with you
You lil', you li' dumb ass bitch, I ain't fuckin' with you
I got a million trillion things I'd rather fuckin' do
Than to be fuckin' with you, lil' stupid ass

[Chorus: Big Sean]
I don't give a fuck, I don't give a fuck
I don't, I don't, I don't give a fuck
Bitch, I don't give a fuck about you
Or anything that you do
Don't give a fuck about you, or anything that you do

[Verse 1: Big Sean]
I heard you got a new man, I see you takin' a pic
Then you post it up, thinkin' that it's makin' me sick (brr brr)
I see you callin', I be makin' it quick
I'ma answer that shit like, ""I don't fuck with you.""
Bitch, I got no feelings to go
I swear I had it up to here, I got no ceilings to go
I mean, for real, fuck how you feel
Fuck your two cents if it ain't goin' towards the bill
Yeah, and every day I wake up celebratin' shit
Why? ‘Cause I just dodged a bullet from a crazy bitch
I stuck to my guns, that's what made me rich
That's what put me on, that's what got me here
That's what made me this
And everything that I do is my first name (B-I-G)
These hoes chase bread, aw damn, she got a bird brain
Ain't nothin' but trill in me, aw man, silly me
I just bought a crib, three stories; that bitch a trilogy
And you know I'm rollin' weed that's fuckin' up the ozone
I got a bitch that text me she ain't got no clothes on
And then another one text, then your ass next
And I'ma text your ass back, like…

[Pre-Chorus: Big Sean]
I don't fuck with you
You lil' stupid ass bitch, I ain't fuckin' with you
You lil', you lil' dumb ass bitch, I ain't fuckin' with you
I got a million trillion things I'd rather fuckin' do
Than to be fuckin' with you, lil' stupid ass

[Chorus: Big Sean]
I don't give a fuck, I don't give a fuck
I don't, I don't, I don't give a fuck
Bitch, I don't give a fuck about you
Or anything that you do
Don't give a fuck about you, or anything that you do

[Verse 2: E-40]
Got a million things on my mind, executive deals online
Limited amount of time, chasin' these dollar signs
And you ain't on your grind
You liable to find me up in the MGM casino in the D
Fuckin' off fetti I could've put on property
From the Bay to the Murder Mitten
My niggas put murder missions
She choosin', that's her decision, free my niggas in prison
On the phone with a bitch who can't do shit
For a pimp but make a nigga hella rich
Got a blunt in my dental, blowin' hemp in a rental
On my way to Sacramento, late night; Arsenio
I'm never sentimental, go hard or go homeless
Barely Harley, I'm chromeless, you might end up domeless
I bet you she into me, her cheddar, she givin' me
I'll make a bitch stand outside forever, like the Statue of Liberty
Rest in pimp, Pimp C, underground king of the South
I raise my styrofoam up, and pour some drink in my mouth
Why you always coming around with bad news?
Say you want me to win, but hope I lose
Askin' if I rock with other niggas in the crew
But them niggas cool, it's just that…

[Pre-Chorus: Big Sean + (E-40)]
Bitch, I ain't fuckin' with you (Lil biatch!)
You lil' stupid ass bitch, I ain't fuckin' with you (Nuh-uh!)
You lil', you lil' dumb ass bitch, I ain't fuckin' with you
I got a million trillion things I'd rather fuckin' do
Than to be fuckin' with you, lil' stupid ass

[Chorus: Big Sean]
I don't give a fuck, I don't give a fuck
I don't, I don't, I don't give a fuck
Bitch, I don't give a fuck about you
Or anything that you do
Don't give a fuck about you, or anything that you do
I don't give a fuck, I don't give a fuck
I don't, I don't, I don't give a fuck
Bitch, I don't give a fuck about you
Or anything that you do
Don't give a fuck about you, or anything that you do

[Verse 3: Big Sean]
I got a new chick that I gotta thank God for
I got a new whip that I gotta thank the lot for
Yeah, I got a lot but want a lot more
Yeah, we in the buildin', but I'm tryna take it to the top floor
I swear I hear some new bullshit every day I'm wakin' up
It seem like nowadays everybody breakin' up
That shit can break you down if you lose a good girl
I guess you need a bad bitch to come around and make it up
I guess drama makes for the best content
Everything got a bad side, even a conscience
Now you're drinkin' 'til you're unconscious
Feel me when you get a fine bitch
Just don't forget to read the fine print
Life got me meditatin' like I'm in the Himalayas
Keep it G with the L lit on me like the elevator
Yeah, I know that karma's too real
So I hope you doin' cool, but still…

[Outro: Big Sean]
Stupid ass bitch, I ain't fuckin' with you
Little stupid ass… I ain't fuckin with…
I ain't fuckin'… I ain't, I ain't fuckin' with you
I ain't fuckin' with you (Straight up)

"
Twice,Little Dragon,"

[Verse 1]
Twice I turn my back on you
I fell flat on my face but didn't lose
Tell me where would I go
Tell me what led you on, I'd love to know

[Chorus]
Was it the blue night, gone fragile?
Was it about the men, in wonder steady going under?
Was it the light ways, so frightening?
Was it a two wills?
One mirror holding us dearer now

[Verse 2]
Thought I had an answer once
But your random way swept me along
Colossal signs so I got lost
With so many lovers singing songs

[Chorus]
Was it the blue night, gone fragile?
Was it about the men, in wonder steady going under?
Was it the light ways, so frightening?
Was it a two wills?
One mirror holding us dearer now

"
Show Your Love,DJ Cam,"

[Hook: Supastition]
No matter where you are
No matter where you're at
We're gonna resurrect the music and bring it back
No matter where you're at
No matter where you are
You gotta rock to it, Cam and Supa keep it raw

[Verse One: Supastition]
Repertoire forever, I'll be damned if I'mma change up
This therapeutic music, I use it to channel anger
At any given time, Supa's liable to spark shit
And we's wild, speed dial your fire department
Inform 'em, people wanted the flows hot now-a-days
I smell smoke in Carolina, there's a four alarm blaze
I had to prove that I'm nice and sick with it to the game
I refuse to kiss ass for some critical acclaim
Am I dope as they proclaim? You seen the way I stand my ground
When placed beside bigger niggas with a name
My sound ain't for the suburbanites
It's more for the homies on the grind within the urban life
9 to 5 worker type
I'm here to show my state and all tobacco and livestock
And you can see the difference in the rap flow that I got
There's no dispute about it, we the best in here
Breakin' new ground with the sound of yester year
Let's keep it rockin' y'all

[Hook]

[Verse Two: Supastition]
I'm a franchise player, y'all little dudes get benched
Even in Paris I'm the shit dawg, excuse my French
It's me and DJ Cam, forever we stay fam
Let's get this paper up front like it's a prepaid plan
Now it's official, Supastition keep it poppin' out in France
Other rappers? Not a chance
Brother, y'all can not advance
I spit with a heavy impact that'll break your bones
Got Carolina in my arms like ??
I'm that thorough
My colony is standin' right beside me son
Team players, never selfish like Iverson
Just give me some bass and the livest drums
I'll have you rushin' to the record store by the time I'm done
I bring back that old feel with no frills it's so real
It's the Suparemacy with DJ Cam on the wheels
There's no dispute about it, we the best in here
Breakin' new ground with the sounds of yester year
Let's keep rockin' y'all

[Hook]


[Bridge: Supastition]
No matter where you're at
No matter where you are
No matter where you're at
No matter where I am
It's Supa and DJ Cam

[Outro: Supastition talking]
Let rock y'all. From NC all the way to Paris. Worldwide

"
Scale It Back,DJ Shadow,"

[Verse 1]
I swear I'll solve your life, my feet fall over you inside
And I thought I heard someone say
You'll fly far away
And when you reach up the sky is there

[Verse 2]
This clueless, I wouldn't know
We swam in the waves, and we let it go
Until I heard someone say
Over the horizon beyond
Oh, where you reached and knocked over stars

[Chorus]
I dreamt I came from parking movements
Every moment I see with our clothes
Take me to places where we can stop
I dreamt I came from parking movements

[Verse 3]
Ooo, Ooo
Nothing can steal this treasure from us, babe
I'm still in love, now
Fighting the sounds
Take chances and come closer to me babe
I'm fallin' out, now

[Chorus]
I dreamt I came from parking movements
Every moment I see with our clothes
Take me to places where we can stop
I dreamt I came from parking movements

[Outro]
Now, Oooooo
Take chances and come closer to me babe
I'm fallin' out

"
Redeemed,DJ Shadow,"

God gave me a song that the angels cannot sing
I've been washed in the blood of the crucified one
I've been redeemed

God gave me a song that the angels cannot sing
I've been washed in the blood of the crucified one
I've been redeemed

"
Que Sera,Wax Tailor,"

[Intro]
A record of the delightful piece
They're going to play this evening

Ladies and gentlemen
Ladies and gentlemen
Ladies and gentlemen
Ladies and gentlemen
Ladies and gentlemen
Ladies and gentlemen
Ladies and gentlemen
Ladies and gentlemen
Your attention please

[Pre-Chorus]
And now, the moment we've been waiting for is here
I- I have something to tell you

[Chorus]
Que sera, sera
Que sera, sera
Que sera, sera
Que sera, sera
Whatever will be
(Remember) Will be
(Remember) Will be

[Verse 1]
The future's not
The future's not
The future's not

I believe in the future (I believe in the future)
I don't believe in miracles
Can it be true?!
It must be true, no doubt! (no doubt!)

Life is going on as normally as ever
But suddenly something seems to have happened
(Suddenly something seems to have happened)
Everybody seems to be staring in one direction
People seem to be frightened, even terrified

I want everybody to understand this
I don't understand
I don't understand
There're a lot of things we don't understand either
(understand, either)

We need answers from you
What- What did you expect to find?
(What did you expect to find?)
What is going to be our future?
It-  It's your responsibility to do something about it!
Well, I, uh...
I have the key in my hand
All I have to find is the lock
Now listen to me, all of you!

[Chorus]
Que sera, sera
Que sera, sera
Que sera, sera
Que sera, sera
Whatever will be
(Remember!) Will be
(Remember!) Will be

[Outro]
Oh, you're divine

"
Listen,DJ Shadow,"

Well it's hard when it matters
To make the right move
The bright lights
Shining right into your face

That's when you need a little distance
And you take a little time
Time enough to fell what's really yours
And what you feel is really mine
And this time you stop and Listen

And you try but there's never a time just to listen
Then you find that there's never a time just to listen

Well you need a little patience
Just to step back and beat them frown lines that are
Written all over your face
No I see a tale within the motions
That your eyes can't see
So blind but in your mind is
No other place you'd be
And you ask a question to yourself when you have to sit down and

And you find but there's never a time just to listen
This is the time
Then you find that there's never a time just to listen
They won't hurt you anymore
And you try but there's never a time just to listen
It won't hurt you anymore
Then you find that there's never a time just to listen
Sit back, sit down, Listen

"
Cover My Eyes,La Roux,"

[Verse 1]
No wonder I'm scared to look in your eyes
You've turned me away so many times
You can take it away at any given moment
It's hard to believe while you're in this disguise

[Pre-Chorus]
So would you hold me please?
I'm trying hard to breathe
I'm just surviving
So would you hold me please?
I'm trying hard to breathe
Stop me from crying

[Chorus]
When I see you walking with her
I have to cover my eyes
(I have to cover my eyes)
Every time you leave with her
Something inside me dies
(Something inside of me dies)

[Verse 2]
No wonder it hurts to sit by your side
(Turned me away so many times)
There's a different song I can play you tonight
(We don't have to sit here in silence)
We can break the pattern, we can change the colour
(It's just a little sacrifice)
You don't need to worry about the others
(It's all in your mind)

[Pre-Chorus]
So would you hold me please?
I'm trying hard to breathe
I'm just surviving
So would you hold me please?
I'm trying hard to breathe
Stop me from crying

[Chorus](x2)
When I see you walking with her
I have to cover my eyes
(I have to cover my eyes)
Every time you leave with her
Something inside me dies
(Something inside of me dies)

Something inside me dies

[Chorus](x2)
When I see you walking with her
I have to cover my eyes
(I have to cover my eyes)
Every time you leave with her
Something inside me dies
(Something inside of me dies)

Something inside me dies

"
Closer,Goapele,"

[Intro]
Closer to my dreams
It's coming over me
I'm getting higher
Closer to my dreams
I'm getting higher and higher
Feel it in my sleep

[Verse 1]
Sometimes it feels like I'll never go past here
Sometimes it feels like I'm stuck forever, ever (Like I'm stuck forever)

[Chorus]
But I'm going higher
Closer to my dreams
I'm going higher and higher
I can almost reach

[Verse 2]
Sometimes you just have to let it go (Let it go, let it go)
Leaving all my fears to burn and die
Push them all away so I can move on
Closer to my dreams
Feel it all over my being, in my being
Close your eyes and seek what you believe

[Chorus]
I'm moving higher, higher, oh, oh
I'm going higher and higher and higher and higher
Closer to my dreams
(Higher and higher, oh, oh)

[Verse 3]
I'm moving upward and onward and beyond all that I could see
(Stretching out my arms so I can reach)
I'm so close it's like I can just reach
I can feel my dreams
Closer to my dreams
I'm moving closer to my dreams
Ooh

[Outro]
Sometimes it feel like you'll never gonna change
(Never gonna change)
But you never choose to walk away

"
Hell Is Round The Corner,Tricky,"

I stand firm for our soil (a source)
Lick a rock on foil (nigga I'll come forth)
Say reduce me, seduce me, (They juice me, seduce me)
Dress me up in Stussy
Hell is round the corner where I shelter
Ism's and schisms, we're living helter skelter (been livin' on a study)
If you believe and (or) deceive common sense says shouldn't receive
Let me take you down the corridors of my life
And when you walk, do you walk to your preference?
No need to answer till I take further evidence
I seem to need a reference to get residence
A reference to your preference to say
I'm a good neighbor, I trudge, (shrug)
So judge me for labor
Live version of the song. The bond on me ensures (lobotomy) my good behavior
The constant struggle (strum) ensures my insanity
Passing the ignorance ensures the struggle for my family
We're hungry beware of our appetite
Distant drums bring the news of a kill tonight
The kill which I share with my passengers
We take our fill, take our fill, take our fill

I stand firm for our soil (a source)
Lick a rock on foil (nigga I'll come forth)
Say reduce me, seduce me, (They juice me, seduce me)
Dress me up in Stussy

Confused by different memories
Details of Asian remedies
Conversations, of what's become of enemies
My brain thinks bomb-like
So I listen he's a calm type
And as I grow, I grow collective
Before the move sit on the perspective
Mr. Quaye (Mr. Kray) lay in the crevice. (Distant cradle in the crevice)
And watches from the precipice
Imperial passage
Heat from the sun some days slowly passes
Until then, you have to live with yourself
Until then, you have to live with yourself

"
Fiction,The xx,"

[Verse 1]
Fiction when we're not together
Mistaken for a vision, something of my own creation
I wake up alone, with only daylight between us
Last night the world was beneath us, tonight comes, too long
We'll be torn apart by the break of day
You're more than I can believe
Would ever come my way

[Verse 2]
Fiction when we're not together
Mistaken for a vision, something of my own creation
Come real life, why do I refuse you?
Cause if my fear's right, I risk to lose you
And if I just mind and wake up alone
Bring on the night

[Verse 3]
Fiction when we're not together
Mistaken for a vision, something of my own creation
An uncertain haze, how am I to tell?
I know your face all too well, still I wake up alone
Fiction when we're not together

"
